year,Week,Day,Date,,,OT,,Opp,Score Tm,Score Opp,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Passing Sk,Passing Yds,Passing Y/A,Passing NY/A,Passing Cmp%,Passing Rate,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Scoring FGM,Scoring FGA,Scoring XPM,Scoring XPA,Punting Pnt,Punting Yds,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,ToP
1995,2,Sun,September 10,boxscore,W,,,Denver Broncos,31,21,17,35,198,3,1,3,24,6.3,5.2,48.6,82.8,21,89,4.2,0,0,0,3,3,5,115,4,13,2,2,25:13
1995,3,Sun,September 17,boxscore,W,OT,@,Minnesota Vikings,23,17,22,38,160,2,0,3,25,4.9,3.9,57.9,85.4,27,92,3.4,0,1,2,2,2,7,206,8,17,0,0,32:44
1995,4,Sun,September 24,boxscore,W,,,Arizona Cardinals,34,20,25,34,329,2,3,3,28,10.5,8.9,73.5,86.5,17,52,3.1,0,2,3,2,2,3,39,2,9,0,0,28:33
1995,5,Sun,October 1,boxscore,L,,@,Washington Redskins,23,27,13,24,183,2,1,1,9,8.0,7.3,54.2,89.4,34,136,4.0,1,2,2,3,3,3,36,4,11,0,1,27:16
1995,6,Sun,October 8,boxscore,W,,,Green Bay Packers,34,24,21,41,295,1,1,0,0,7.2,7.2,51.2,72.7,19,74,3.9,2,1,1,3,3,5,105,8,14,0,0,27:01
1995,7,Sun,October 15,boxscore,W,,@,San Diego Chargers,23,9,20,32,174,0,3,6,32,6.4,4.6,62.5,37.8,29,159,5.5,1,0,0,1,1,3,49,4,9,0,2,28:31
1995,9,Sun,October 29,boxscore,W,,@,Atlanta Falcons,28,13,18,30,158,1,0,3,17,5.8,4.8,60.0,85.1,23,100,4.3,0,2,2,1,1,2,176,8,14,1,2,29:50
1995,10,Mon,November 6,boxscore,W,,,Philadelphia Eagles,34,12,11,26,120,0,2,3,13,5.1,4.1,42.3,24.5,29,110,3.8,1,2,2,0,0,6,166,4,14,1,1,26:55
1995,11,Sun,November 12,boxscore,L,,,San Francisco 49ers,20,38,20,30,300,2,0,2,5,10.2,9.4,66.7,121.5,32,86,2.7,2,1,1,5,5,4,58,9,15,0,1,31:28
1995,12,Sun,November 19,boxscore,W,,@,Oakland Raiders,34,21,27,55,309,2,3,0,0,5.6,5.6,49.1,55.8,30,140,4.7,1,0,1,3,3,2,128,11,18,2,3,30:20
1995,13,Thu,November 23,boxscore,W,,,Kansas City Chiefs,24,12,20,36,261,1,0,1,15,7.7,7.1,55.6,87.8,19,73,3.8,0,2,2,0,0,3,34,5,10,0,1,23:05
1995,14,Sun,December 3,boxscore,L,,,Washington Redskins,17,24,11,24,152,1,0,1,2,6.4,6.1,45.8,80.6,39,140,3.6,2,1,1,3,3,6,166,6,15,1,1,29:51
1995,15,Sun,December 10,boxscore,L,,@,Philadelphia Eagles,17,20,20,29,162,0,1,3,25,6.4,5.1,69.0,68.5,40,149,3.7,1,4,4,0,0,4,59,6,15,1,2,32:24
1995,16,Sun,December 17,boxscore,W,,,New York Giants,21,20,10,20,103,0,1,2,8,5.6,4.7,50.0,44.4,44,244,5.5,2,2,3,2,2,3,40,9,15,0,0,33:05
1995,17,Mon,December 25,boxscore,W,,@,Arizona Cardinals,37,13,18,35,222,0,2,3,7,6.5,5.8,51.4,47.6,19,63,3.3,0,2,2,1,1,4,67,4,14,0,1,25:17
1995,19,Sun,January 7,boxscore,W,,,Philadelphia Eagles,30,11,14,31,153,0,1,5,36,6.1,4.3,45.2,46.8,22,74,3.4,1,1,1,0,0,8,262,,,,,
1995,20,Sun,January 14,boxscore,W,,,Green Bay Packers,38,27,21,39,280,3,2,4,27,7.9,6.5,53.8,81.1,12,48,4.0,0,2,2,3,3,3,43,,,,,
1995,21,Sun,January 28,boxscore,W,,N,Pittsburgh Steelers,27,17,28,49,207,1,3,4,32,4.9,3.9,57.1,48.6,31,103,3.3,1,1,1,2,2,4,72,,,,,
1996,1,Mon,September 2,boxscore,L,,@,Chicago Bears,6,22,14,29,213,1,1,0,0,7.3,7.3,48.3,70.0,32,91,2.8,0,3,4,1,1,3,48,2,14,3,3,29:24
1996,2,Sun,September 8,boxscore,W,,,New York Giants,27,0,10,19,42,0,1,3,13,2.9,1.9,52.6,36.5,24,63,2.6,0,0,0,0,0,8,307,4,13,0,1,25:17
1996,3,Sun,September 15,boxscore,L,,,Indianapolis Colts,24,25,19,28,218,2,1,5,26,8.7,6.6,67.9,100.0,28,103,3.7,0,4,4,1,1,2,20,3,11,1,1,31:18
1996,4,Sun,September 22,boxscore,L,,@,Buffalo Bills,7,10,13,22,89,0,1,2,7,4.4,3.7,59.1,49.2,43,135,3.1,1,1,1,1,1,6,158,7,17,0,1,37:28
1996,5,Mon,September 30,boxscore,W,,@,Philadelphia Eagles,23,19,16,30,174,0,2,6,42,7.2,4.8,53.3,42.9,27,85,3.1,1,1,2,2,2,3,41,6,15,1,2,28:27
1996,7,Sun,October 13,boxscore,W,,,Arizona Cardinals,17,3,16,31,120,0,1,3,21,4.5,3.5,51.6,47.8,22,58,2.6,0,1,1,0,0,7,211,5,15,1,1,27:05
1996,8,Sun,October 20,boxscore,W,,,Atlanta Falcons,32,28,25,40,256,1,0,3,16,6.8,6.0,62.5,89.2,31,113,3.6,1,5,5,1,1,3,40,6,16,1,2,41:22
1996,9,Sun,October 27,boxscore,W,,@,Miami Dolphins,29,10,12,27,173,1,1,0,0,6.4,6.4,44.4,62.7,13,48,3.7,0,1,1,1,1,5,135,2,9,0,0,18:02
1996,10,Sun,November 3,boxscore,L,,,Philadelphia Eagles,21,31,19,33,217,1,0,0,0,6.6,6.6,57.6,87.6,30,130,4.3,2,1,1,4,4,3,44,9,14,0,1,30:02
1996,11,Sun,November 10,boxscore,W,OT,@,San Francisco 49ers,20,17,17,30,156,1,2,3,15,5.7,4.7,56.7,54.3,26,111,4.3,1,1,1,2,2,5,120,4,11,0,0,26:57
1996,12,Mon,November 18,boxscore,W,,,Green Bay Packers,21,6,21,37,164,1,0,4,30,5.2,4.0,56.8,76.9,21,90,4.3,0,0,1,0,0,7,220,4,15,2,3,27:01
1996,13,Sun,November 24,boxscore,L,,@,New York Giants,6,20,12,18,104,1,1,1,6,6.1,5.5,66.7,77.1,38,111,2.9,0,2,2,2,2,6,137,5,13,0,0,32:52
1996,14,Thu,November 28,boxscore,W,,,Washington Redskins,21,10,17,33,163,1,2,2,12,5.3,4.7,51.5,50.4,16,46,2.9,0,1,2,1,1,6,184,4,13,0,0,23:25
1996,15,Sun,December 8,boxscore,W,,@,Arizona Cardinals,10,6,18,36,213,0,2,2,11,6.2,5.6,50.0,45.3,26,134,5.2,0,2,2,0,0,5,128,5,12,1,1,29:38
1996,16,Sun,December 15,boxscore,W,,,New England Patriots,12,6,20,40,178,0,3,0,0,4.5,4.5,50.0,31.0,21,101,4.8,0,2,2,0,0,3,34,3,12,0,2,24:57
1996,17,Sun,December 22,boxscore,L,,@,Washington Redskins,10,37,22,31,326,0,1,3,20,11.2,9.6,71.0,91.6,39,157,4.0,4,3,3,4,4,3,32,4,12,2,2,35:35
1996,18,Sat,December 28,boxscore,W,,,Minnesota Vikings,40,15,15,27,205,1,2,2,3,7.7,7.1,55.6,61.5,15,63,4.2,1,0,0,1,1,2,160,1,7,1,2,17:57
1996,19,Sun,January 5,boxscore,L,,@,Carolina Panthers,17,26,12,22,100,2,1,0,0,4.5,4.5,54.5,77.8,37,127,3.4,0,4,4,2,2,1,39,,,,,
1997,1,Sun,August 31,boxscore,W,,@,Pittsburgh Steelers,37,7,13,28,89,1,1,3,15,3.7,2.9,46.4,51.0,23,85,3.7,0,0,0,1,1,8,301,1,11,0,0,27:43
1997,2,Sun,September 7,boxscore,L,OT,@,Arizona Cardinals,22,25,26,47,220,2,0,3,29,5.3,4.4,55.3,81.9,25,66,2.6,1,1,1,2,2,8,282,5,16,1,1,32:31
1997,3,Mon,September 15,boxscore,W,,,Philadelphia Eagles,21,20,18,30,176,1,0,2,8,6.1,5.5,60.0,87.6,29,157,5.4,0,2,3,2,2,6,151,4,14,0,0,30:48
1997,5,Sun,September 28,boxscore,W,,,Chicago Bears,27,3,18,37,102,0,2,5,17,3.2,2.4,48.6,32.6,33,141,4.3,0,1,1,0,0,8,288,7,19,0,1,36:28
1997,6,Sun,October 5,boxscore,L,,@,New York Giants,17,20,12,24,109,0,0,0,0,4.5,4.5,50.0,62.7,21,57,2.7,1,2,2,2,2,8,282,1,11,0,0,19:23
1997,7,Mon,October 13,boxscore,L,,@,Washington Redskins,16,21,12,23,139,1,0,3,16,6.7,5.3,52.2,85.2,32,116,3.6,2,0,0,3,3,7,240,6,13,0,0,29:27
1997,8,Sun,October 19,boxscore,W,,,Jacksonville Jaguars,26,22,21,31,229,3,1,2,13,7.8,6.9,67.7,108.1,18,42,2.3,0,0,0,2,2,5,135,5,11,0,0,26:36
1997,9,Sun,October 26,boxscore,L,,@,Philadelphia Eagles,12,13,13,31,120,1,0,2,6,4.1,3.6,41.9,63.9,33,154,4.7,0,2,4,1,1,4,50,5,15,1,2,29:07
1997,10,Sun,November 2,boxscore,L,,@,San Francisco 49ers,10,17,15,23,173,0,1,1,7,7.8,7.2,65.2,69.7,33,128,3.9,2,1,1,2,2,5,112,2,8,0,0,28:48
1997,11,Sun,November 9,boxscore,W,,,Arizona Cardinals,24,6,18,36,173,0,0,9,49,6.2,3.8,50.0,63.8,26,101,3.9,0,2,4,0,0,4,58,3,15,1,3,30:45
1997,12,Sun,November 16,boxscore,W,,,Washington Redskins,17,14,16,31,155,1,0,1,2,5.1,4.8,51.6,76.7,28,104,3.7,1,0,0,2,2,8,262,6,15,0,0,27:11
1997,13,Sun,November 23,boxscore,L,,@,Green Bay Packers,17,45,22,35,189,4,1,2,14,5.8,5.1,62.9,103.2,41,220,5.4,1,1,2,6,6,3,37,13,17,0,0,37:19
1997,14,Thu,November 27,boxscore,L,,,Tennessee Oilers,14,27,9,17,81,1,0,0,0,4.8,4.8,52.9,85.7,49,164,3.3,1,2,2,3,3,5,112,9,18,1,2,36:02
1997,15,Mon,December 8,boxscore,L,,,Carolina Panthers,13,23,17,30,169,2,0,1,5,5.8,5.5,56.7,95.0,45,155,3.4,0,3,3,2,2,4,61,10,18,0,1,36:39
1997,16,Sun,December 14,boxscore,L,,@,Cincinnati Bengals,24,31,13,25,262,2,1,1,7,10.8,10.1,52.0,99.1,31,157,5.1,2,1,1,4,4,4,77,5,13,1,1,22:03
1997,17,Sun,December 21,boxscore,L,,,New York Giants,7,20,10,25,136,1,0,3,7,5.7,4.9,40.0,71.4,44,147,3.3,1,2,3,2,2,8,256,7,19,0,0,35:11
