year,Week,Day,Date,,,OT,,Opp,Score Tm,Score Opp,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Passing Sk,Passing Yds,Passing Y/A,Passing NY/A,Passing Cmp%,Passing Rate,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Scoring FGM,Scoring FGA,Scoring XPM,Scoring XPA,Punting Pnt,Punting Yds,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,ToP
2000,7,Sun,October 15,boxscore,L,,@,New York Giants,14,19,22,42,193,1,5,2,18,5.0,4.4,52.4,33.2,27,76,2.8,1,0,0,2,2,3,129,5,13,0,1,30:42
2000,8,Sun,October 22,boxscore,W,,,Arizona Cardinals,48,7,9,15,147,2,0,1,7,10.3,9.2,60.0,132.5,40,200,5.0,3,2,2,6,6,3,126,3,7,0,0,30:45
2000,9,Sun,October 29,boxscore,L,OT,,Jacksonville Jaguars,17,23,17,25,207,1,1,2,13,8.8,7.7,68.0,89.9,32,118,3.7,1,1,1,2,2,3,123,5,9,0,0,30:08
2000,10,Sun,November 5,boxscore,L,OT,@,Philadelphia Eagles,13,16,14,22,91,0,1,3,18,5.0,3.6,63.6,53.4,46,204,4.4,1,2,2,1,1,5,180,6,17,2,4,34:50
2000,11,Sun,November 12,boxscore,W,,,Cincinnati Bengals,23,6,24,37,308,1,0,0,0,8.3,8.3,64.9,99.8,32,97,3.0,1,3,6,2,2,0,0,7,15,1,1,35:25
2000,12,Sun,November 19,boxscore,L,,@,Baltimore Ravens,0,27,19,33,137,0,3,1,1,4.2,4.0,57.6,29.5,14,55,3.9,0,0,1,0,0,7,259,1,10,0,1,21:38
2000,13,Thu,November 23,boxscore,L,,,Minnesota Vikings,15,27,30,43,276,1,1,0,0,6.4,6.4,69.8,85.0,24,128,5.3,0,3,4,0,0,3,108,7,13,0,0,31:51
2000,14,Sun,December 3,boxscore,L,,@,Tampa Bay Buccaneers,7,27,17,33,153,0,1,2,15,5.1,4.4,51.5,51.7,28,113,4.0,1,0,1,1,1,5,210,5,13,1,1,30:17
2000,15,Sun,December 10,boxscore,W,,,Washington Redskins,32,13,5,8,72,0,0,3,17,11.1,6.5,62.5,91.7,43,242,5.6,3,4,5,2,2,3,135,2,10,0,0,31:00
2000,16,Sun,December 17,boxscore,L,,,New York Giants,13,17,13,25,70,0,1,5,49,4.8,2.3,52.0,41.2,30,75,2.5,1,2,2,1,1,5,215,3,13,1,2,31:24
2000,17,Mon,December 25,boxscore,L,,@,Tennessee Titans,0,31,5,20,9,0,2,4,26,1.8,.4,25.0,0.0,29,86,3.0,0,0,0,0,0,10,400,3,14,0,1,25:26
