STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900516 13:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900520 09:00,5.08, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900526 19:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900601 01:00,0.00,g, 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900601 04:00,7.62, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900601 05:00,12.70, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900601 06:00,7.62, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900601 13:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900601 14:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900624 06:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900625 02:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900625 08:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900701 01:00,0.00,g, 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900712 05:00,5.08, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900712 06:00,7.62, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900712 07:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900717 11:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900718 14:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900718 15:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900718 17:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900719 15:00,7.62, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900722 13:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900722 14:00,5.08, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900723 00:00,5.08, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900723 01:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900724 12:00,7.62, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900724 13:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900724 18:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900724 19:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900801 01:00,0.00,g, 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900802 13:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900802 22:00,10.16, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900803 16:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900804 05:00,5.08, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900804 09:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900805 07:00,2.54, , 
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19900805 15:00,7.62, , 
